FID,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
0,0.06159999966621399,0.10050000250339508,0.10580000281333923,0.15219999849796295,0.2538999915122986,0.2881999909877777,0.3009999990463257,0.325300008058548,0.23839999735355377,0.16009999811649323,0.4798426628112793,0.30557364225387573,-0.4993773102760315,0.328331857919693,-0.0260328222066164
1,0.038100000470876694,0.059950001537799835,0.0608999989926815,0.11155000329017639,0.21789999306201935,0.2551000118255615,0.2897000014781952,0.2996000051498413,0.19200000166893005,0.10530000180006027,0.652595579624176,0.4668354392051697,-0.657085657119751,0.44398751854896545,-0.12898226082324982
2,0.015799999237060547,0.03319999948143959,0.020800000056624413,0.061000000685453415,0.227400004863739,0.28110000491142273,0.2863999903202057,0.30570000410079956,0.11410000175237656,0.05220000073313713,0.8645833134651184,0.6916715502738953,-0.7922403216362,0.6488198041915894,-0.38274991512298584
3,0.035599999129772186,0.05739999935030937,0.06199999898672104,0.12200000137090683,0.2526000142097473,0.29490000009536743,0.3077999949455261,0.33730000257492065,0.20559999346733093,0.11209999769926071,0.6646836400032043,0.46606335043907166,-0.6856517195701599,0.4322940707206726,-0.12405892461538315
4,0.026850000023841858,0.054749999195337296,0.05420000106096268,0.1107499971985817,0.22030000388622284,0.2628999948501587,0.30140000581741333,0.30774998664855957,0.1996999979019165,0.10764999687671661,0.6951631307601929,0.4736585021018982,-0.6925452947616577,0.4625743329524994,-0.12771622836589813
5,0.06300000101327896,0.09700000286102295,0.1306000053882599,0.19140000641345978,0.24570000171661377,0.2809000015258789,0.3176000118255615,0.3375000059604645,0.33169999718666077,0.1995999962091446,0.4172244369983673,0.2281516194343567,-0.5320791006088257,0.2479371279478073,0.09692726284265518
6,0.02645000070333481,0.05040000006556511,0.03999999910593033,0.10464999824762344,0.26440000534057617,0.32910001277923584,0.37139999866485596,0.38484999537467957,0.18455000221729279,0.09375,0.8055420517921448,0.5969042181968689,-0.7610241770744324,0.5603402853012085,-0.2784382998943329
7,0.02539999969303608,0.0507499985396862,0.04170000180602074,0.11044999957084656,0.24889999628067017,0.2966499924659729,0.29980000853538513,0.3338499963283539,0.17949999868869781,0.09139999747276306,0.7557833194732666,0.5327198505401611,-0.7104550004005432,0.4615478515625,-0.19033676385879517
8,0.032099999487400055,0.06560000032186508,0.053199999034404755,0.13750000298023224,0.2759999930858612,0.32899999618530273,0.3700000047683716,0.38600000739097595,0.20090000331401825,0.10559999942779541,0.7485822439193726,0.5559293627738953,-0.6988062262535095,0.45812806487083435,-0.22554099559783936
9,0.027899999171495438,0.054999999701976776,0.0608999989926815,0.12189999967813492,0.22904999554157257,0.27219998836517334,0.28760001063346863,0.3267500102519989,0.2176000028848648,0.1205499991774559,0.6505021452903748,0.4092858135700226,-0.6789258718490601,0.4046398103237152,-0.06228957325220108
10,0.03554999828338623,0.057750001549720764,0.05570000037550926,0.11240000277757645,0.22540000081062317,0.275299996137619,0.28439998626708984,0.3227500021457672,0.1887499988079071,0.10300000011920929,0.6724492907524109,0.4682498574256897,-0.6624287366867065,0.43346771597862244,-0.13377034664154053
11,0.016300000250339508,0.04039999842643738,0.027699999511241913,0.06655000150203705,0.20464999973773956,0.2561500072479248,0.2937000095844269,0.2854999899864197,0.12065000087022781,0.05624999850988388,0.8276291489601135,0.6785255074501038,-0.7581562399864197,0.6305343508720398,-0.3526780903339386
12,0.04244999960064888,0.06129999831318855,0.06710000336170197,0.11065000295639038,0.18060000240802765,0.21295000612735748,0.23180000483989716,0.25279998779296875,0.16920000314712524,0.09229999780654907,0.5510203838348389,0.43042272329330444,-0.5817127227783203,0.3537742793560028,-0.07433159649372101
13,0.024000000208616257,0.05355000123381615,0.042149998247623444,0.11990000307559967,0.2971000075340271,0.36629998683929443,0.3887999951839447,0.42114999890327454,0.1761000007390976,0.08545000106096268,0.8043856620788574,0.639641523361206,-0.7578840255737305,0.5286023020744324,-0.30829569697380066
14,0.035599999129772186,0.07090000063180923,0.06080000102519989,0.13680000603199005,0.2694999873638153,0.32339999079704285,0.37439998984336853,0.3718000054359436,0.2078000009059906,0.11159999668598175,0.720588207244873,0.5407407283782959,-0.6815629601478577,0.4647887051105499,-0.2083701640367508
