FID,FuelClass,class_id,split,block_id,elev,slope,northness,chm
0,pasture,1,valid,300005,333.45001220703125,29.79540061950684,0.993283987045288,0.8679810166358948
1,pasture,1,train,500003,387.0499877929688,12.87440013885498,0.9570749998092652,1.875
2,pasture,1,valid,500002,0.0,0.0,0.0,0.0
3,pasture,1,train,300004,348.3500061035156,9.487959861755373,0.5683929920196533,0.8049929738044739
4,pasture,1,train,400003,405.510009765625,15.28909969329834,0.8916699886322021,1.2719999551773071
5,pasture,1,train,7,264.2200012207031,17.73859977722168,0.4220480024814605,0.1170039996504783
6,pasture,1,train,600003,373.8699951171875,18.229900360107425,0.8273429870605469,0.3089900016784668
7,pasture,1,valid,700000,268.010009765625,34.505699157714844,0.6582509875297546,0.4059750139713287
8,pasture,1,train,300004,370.739990234375,10.953399658203123,0.4779230058193207,0.1510010063648224
9,pasture,1,train,300004,366.1600036621094,26.330799102783203,0.947152018547058,1.773010015487671
10,pasture,1,train,500003,411.1199951171875,13.49839973449707,0.9997829794883728,3.871000051498413
11,pasture,1,valid,500002,0.0,0.0,0.0,0.0
12,pasture,1,train,100005,311.6199951171875,6.129179954528809,0.9079520106315612,0.054992701858282
13,pasture,1,train,300002,413.9599914550781,16.095699310302734,0.5068429708480835,0.1069950014352798
14,pasture,1,valid,300003,405.1300048828125,18.605199813842773,-0.0482842996716499,0.2539980113506317
15,pasture,1,train,400003,409.80999755859375,17.706300735473633,0.967074990272522,0.1539919972419738
16,pasture,1,valid,300003,402.6900024414063,9.673270225524902,0.6380469799041748,0.1659850031137466
17,pasture,1,train,500003,401.1900024414063,9.46030044555664,0.6526619791984558,2.242000102996826
18,pasture,1,train,600004,343.1600036621094,14.857600212097168,0.1335130035877227,0.9580079913139344
19,pasture,1,train,800007,414.1199951171875,9.504159927368164,0.3957169950008392,1.3460099697113037
20,pasture,1,train,6,269.6199951171875,12.225799560546877,-0.9402999877929688,0.1490170061588287
21,pasture,1,train,7,275.7200012207031,10.65250015258789,-0.1395529955625534,0.1019899994134903
22,pasture,1,train,500003,383.3399963378906,16.44529914855957,0.9782299995422364,0.3690190017223358
23,pasture,1,valid,500002,425.510009765625,14.674799919128418,0.9355409741401672,2.302000045776367
24,pasture,1,train,7,260.70001220703125,10.426899909973145,0.9713360071182252,0.0739746019244194
25,pasture,1,train,400003,377.1700134277344,25.2322998046875,0.8938999772071838,3.5799899101257324
26,pasture,1,valid,200005,309.8900146484375,1.012809991836548,-0.1411190032958984,0.0419921986758708
27,pasture,1,valid,300003,403.7300109863281,17.537500381469727,0.8504329919815063,0.81597900390625
28,pasture,1,train,600001,445.510009765625,45.2134017944336,0.3598119914531708,0.3909910023212433
29,pasture,1,train,500003,386.6799926757813,30.3572998046875,0.4801990091800689,0.5580139756202698
30,pasture,1,train,500007,386.5199890136719,11.126299858093262,0.1716009974479675,1.4609999656677246
31,pasture,1,train,700008,454.25,26.640499114990234,0.2142830044031143,0.8250120282173157
32,pasture,1,valid,500002,0.0,0.0,0.0,0.0
33,pasture,1,train,600003,349.8500061035156,10.897500038146973,0.9999160170555116,0.1040040031075477
34,pasture,1,train,400004,385.5799865722656,26.789400100708008,0.9333419799804688,2.232029914855957
35,pasture,1,train,7,265.489990234375,10.200300216674805,0.5626829862594604,0.9270020127296448
36,pasture,1,train,500003,417.1400146484375,13.135199546813965,0.958844006061554,1.3809800148010254
37,pasture,1,train,300004,369.1700134277344,12.01710033416748,0.6459580063819885,0.6529849767684937
38,pasture,1,train,300002,394.1799926757813,19.034500122070312,0.5941939949989319,0.1369930058717727
39,pasture,1,train,200004,344.8299865722656,14.836099624633787,0.1651390045881271,0.0950011983513832
40,pasture,1,valid,200005,337.1199951171875,3.237760066986084,0.7071070075035095,0.0740050971508026
41,pasture,1,valid,300003,404.8200073242188,13.791600227355955,0.5499789714813232,0.7460020184516907
42,pasture,1,train,500003,338.8999938964844,27.743900299072266,0.6630290150642395,2.704010009765625
43,pasture,1,train,400003,429.8399963378906,12.88479995727539,0.9999849796295166,0.0350036993622779
44,pasture,1,valid,200002,374.5499877929688,15.954400062561035,0.1792699992656707,0.0380248986184597
45,pasture,1,train,100005,303.7799987792969,7.573470115661621,-0.9871479868888856,0.0459900014102458
46,pasture,1,train,400004,348.1400146484375,20.656400680541992,0.0629981979727745,0.5829769968986511
47,pasture,1,train,500003,390.1400146484375,13.480199813842772,0.990764021873474,2.2649800777435303
48,pasture,1,valid,500002,420.55999755859375,27.702800750732425,0.987953007221222,0.2319950014352798
49,pasture,1,valid,300003,388.9299926757813,18.923099517822266,0.0437521003186702,0.1790159940719604
50,gorse_broom,2,train,200009,191.05999755859372,43.45700073242188,0.8957419991493225,0.6500089764595032
51,gorse_broom,2,train,500007,357.69000244140625,16.864900588989258,0.9978209733963012,0.7290040254592896
52,gorse_broom,2,train,100004,253.75999450683597,35.872100830078125,-0.7882360219955444,0.3560029864311218
53,gorse_broom,2,valid,100009,48.04999923706055,22.0664005279541,0.9034860134124756,2.2839999198913574
54,gorse_broom,2,valid,300006,254.1000061035156,19.75180053710937,0.6823099851608276,0.2039950042963028
55,gorse_broom,2,train,300010,181.4600067138672,14.358799934387209,0.087898202240467,8.502989768981934
56,gorse_broom,2,train,500008,369.239990234375,14.24240016937256,-0.0246322993189096,0.8560180068016052
57,gorse_broom,2,valid,100002,295.2900085449219,15.135199546813965,0.7117040157318115,0.1479800045490265
58,gorse_broom,2,valid,300009,256.6099853515625,30.92989921569824,0.8428019881248474,7.541019916534424
59,gorse_broom,2,valid,300009,231.8999938964844,16.186399459838867,0.137813001871109,5.269999980926514
60,gorse_broom,2,train,500007,361.2300109863281,14.751299858093262,-0.8118000030517578,0.6549990177154541
61,gorse_broom,2,train,200003,280.92999267578125,32.73350143432617,0.9917290210723876,0.6109920144081116
62,gorse_broom,2,train,300010,206.17999267578125,27.41270065307617,0.7423329949378967,9.902009963989258
63,gorse_broom,2,train,4,230.7700042724609,25.846599578857425,-0.7173550128936768,0.3179929852485657
64,gorse_broom,2,valid,5,293.4599914550781,14.196000099182127,0.854852020740509,0.1180109977722168
65,gorse_broom,2,valid,300006,289.6300048828125,24.48430061340332,0.9524530172348022,1.46697998046875
66,gorse_broom,2,train,200007,221.58999633789065,38.0265998840332,0.6489480137825012,0.3809970021247864
67,gorse_broom,2,train,4,282.5299987792969,29.208499908447266,-0.9144530296325684,0.4750060141086578
68,gorse_broom,2,train,300007,233.72999572753903,30.33270072937012,0.9100720286369324,0.3240050077438354
69,gorse_broom,2,train,400011,256.1499938964844,4.689519882202148,0.9905419945716858,0.0599975995719432
70,gorse_broom,2,train,200010,150.88999938964844,22.88940048217773,0.3286420106887817,0.9109950065612792
71,gorse_broom,2,train,400010,257.69000244140625,18.615100860595703,-0.248646005988121,0.8370059728622437
72,gorse_broom,2,train,400008,338.5599975585937,21.04290008544922,0.9194759726524352,0.1539919972419738
73,gorse_broom,2,train,4,190.0500030517578,20.109600067138672,-0.9559270143508912,0.7379909753799438
74,gorse_broom,2,train,400010,220.91000366210935,29.71339988708496,-0.1927469968795776,1.5939899682998655
75,gorse_broom,2,train,300007,166.02000427246094,36.09170150756836,0.3017860054969787,1.0
76,gorse_broom,2,train,500010,304.3800048828125,20.71929931640625,0.9616460204124452,1.2239999771118164
77,gorse_broom,2,train,400008,327.9100036621094,6.538790225982666,0.8832719922065735,0.1659850031137466
78,gorse_broom,2,train,200003,354.8999938964844,17.795900344848633,0.0779014974832534,0.1530150026082992
79,gorse_broom,2,train,500007,359.5,10.569199562072754,0.0602704994380474,1.1400099992752075
80,gorse_broom,2,valid,300011,147.00999450683594,29.535400390625,-0.9177690148353576,2.4730100631713867
81,gorse_broom,2,valid,300011,215.2700042724609,6.628320217132568,0.204366996884346,1.3700000047683716
82,gorse_broom,2,valid,300006,261.7200012207031,29.5713005065918,0.8966169953346252,1.4240100383758545
83,gorse_broom,2,train,200003,288.6600036621094,18.10460090637207,0.9978860020637512,0.1279910057783126
84,gorse_broom,2,valid,300006,229.5200042724609,33.11589813232422,-0.2203830033540725,0.4649960100650787
85,gorse_broom,2,train,400008,314.9200134277344,20.27470016479492,0.9948350191116332,0.1949770003557205
86,gorse_broom,2,train,300010,183.77999877929688,21.565900802612305,0.9171710014343262,5.853000164031982
87,gorse_broom,2,valid,5,286.5899963378906,18.47669982910156,0.048633899539709,0.1620180010795593
88,gorse_broom,2,valid,300009,240.0200042724609,28.47410011291504,-0.2419870048761367,4.730999946594238
89,gorse_broom,2,train,100004,263.7699890136719,24.74220085144043,-0.6536890268325806,0.4309999942779541
90,gorse_broom,2,train,200009,209.1100006103516,24.120399475097656,-0.0335082001984119,0.9880070090293884
91,gorse_broom,2,train,200009,161.85000610351562,35.4119987487793,0.99686598777771,0.9769899845123292
92,gorse_broom,2,train,200007,181.7700042724609,38.83160018920898,0.916229009628296,0.2819980084896087
93,gorse_broom,2,valid,300005,320.1499938964844,18.63680076599121,0.6041380167007446,1.6090099811553955
94,gorse_broom,2,train,500007,366.5400085449219,21.8533992767334,-0.5859479904174805,0.3229979872703552
95,gorse_broom,2,train,4,214.3999938964844,28.554100036621094,-0.8476079702377319,0.3590089976787567
96,gorse_broom,2,train,300010,222.1199951171875,7.130650043487549,0.9992020130157472,4.536009788513184
97,gorse_broom,2,train,400009,259.6000061035156,11.635600090026855,0.8741570115089417,10.22700023651123
98,gorse_broom,2,valid,5,243.13999938964844,40.54249954223633,-0.9995729923248292,0.3999939858913421
99,gorse_broom,2,train,3,171.77000427246094,20.86989974975586,0.3475199937820434,0.7939910292625427
100,exotic_pine,3,train,600010,270.54998779296875,11.317700386047363,0.4371980130672455,0.1700129956007003
101,exotic_pine,3,train,100008,120.48999786376952,22.879499435424805,0.930101990699768,21.99399948120117
102,exotic_pine,3,valid,400002,446.3599853515625,15.265000343322754,-0.5725150108337402,0.462006002664566
103,exotic_pine,3,train,800009,262.29998779296875,30.60059928894043,0.8137310147285461,28.73200035095215
104,exotic_pine,3,valid,700009,323.2900085449219,39.26620101928711,0.8348609805107117,0.2909849882125854
105,exotic_pine,3,train,700010,207.22000122070312,19.309362,0.99534982,1.485990047454834
106,exotic_pine,3,train,100008,99.79000091552734,25.394399642944336,0.9242420196533204,21.011999130249023
107,exotic_pine,3,valid,500001,0.0,0.0,0.0,0.0
108,exotic_pine,3,valid,700009,288.82000732421875,29.188400268554688,0.5705980062484741,0.545989990234375
109,exotic_pine,3,valid,700009,268.1400146484375,27.56060028076172,0.9412500262260436,0.3409729897975921
110,exotic_pine,3,train,100008,130.07000732421875,33.89889907836914,0.6901670098304749,29.875
111,exotic_pine,3,valid,400002,0.0,0.0,0.0,0.0
112,exotic_pine,3,train,700010,301.5599975585937,24.536500930786133,0.983029007911682,2.1650099754333496
113,exotic_pine,3,train,100008,190.6199951171875,32.92539978027344,0.7644129991531372,0.4320070147514343
114,exotic_pine,3,train,600008,373.6700134277344,18.697099685668945,0.6574680209159851,16.479000091552734
115,exotic_pine,3,valid,700009,353.6400146484375,34.75310134887695,0.6431930065155029,0.420989990234375
116,exotic_pine,3,train,800009,332.510009765625,24.483299255371094,0.971737027168274,38.55199813842773
117,exotic_pine,3,train,8,201.4900054931641,21.69540023803711,0.8137329816818237,1.3339999914169312
118,exotic_pine,3,train,800009,320.20001220703125,18.287302,0.94561559,30.238000869750977
119,exotic_pine,3,train,700010,211.6000061035156,33.9297981262207,0.9327690005302428,0.2789919972419739
120,exotic_pine,3,train,700010,272.45001220703125,11.039799690246582,0.8905500173568726,0.164001002907753
121,exotic_pine,3,train,700010,245.02999877929688,33.2588005065918,0.9891729950904846,1.1890000104904177
122,exotic_pine,3,valid,700009,339.7300109863281,29.596799850463867,0.801052987575531,0.2419739961624145
123,exotic_pine,3,train,700007,472.7300109863281,6.739500045776367,0.9836959838867188,4.445980072021484
124,exotic_pine,3,train,700010,210.9199981689453,12.574299812316896,0.9582890272140504,0.5180050134658813
125,exotic_pine,3,train,800009,309.989990234375,17.68090057373047,0.99993097782135,37.630001068115234
126,exotic_pine,3,train,700010,316.2300109863281,45.00469970703125,0.9860870242118835,1.5429999828338623
127,exotic_pine,3,valid,700009,355.4200134277344,18.92770004272461,0.99514502286911,0.1649779975414276
128,exotic_pine,3,valid,500002,0.0,0.0,0.0,0.0
129,exotic_pine,3,train,100008,139.3000030517578,50.420501708984375,0.6468669772148132,26.375
130,exotic_pine,3,train,400011,230.72000122070312,15.256099700927734,0.9486809968948364,2.1479899883270264
131,exotic_pine,3,train,400011,220.1699981689453,28.962499618530277,0.7633879780769348,2.010999917984009
132,exotic_pine,3,valid,700009,327.6600036621094,30.411500930786133,0.8369359970092773,0.1770019978284835
133,exotic_pine,3,valid,400002,0.0,0.0,0.0,0.0
134,exotic_pine,3,train,800009,342.9700012207031,18.073999404907227,0.7622209787368774,0.2239989936351776
135,exotic_pine,3,valid,700009,305.1000061035156,32.83449935913086,0.8639190196990967,0.5449830293655396
136,exotic_pine,3,train,700010,217.16000366210935,7.4622697830200195,-0.2290430068969726,0.0429993011057376
137,exotic_pine,3,train,100008,145.14999389648438,30.883699417114254,0.810899019241333,0.2799989879131317
138,exotic_pine,3,train,700010,289.19000244140625,28.56879997253418,0.7162389755249023,0.1940000057220459
139,exotic_pine,3,train,200008,136.89999389648438,34.948299407958984,0.8603209853172302,22.309999465942383
140,exotic_pine,3,valid,800010,250.82000732421875,25.37360000610352,0.8803020119667053,0.343993991613388
141,exotic_pine,3,valid,700009,353.67999267578125,18.81889915466309,0.8326060175895691,0.2140199989080429
142,exotic_pine,3,train,800009,303.7300109863281,20.188499450683597,0.9892600178718568,34.71699905395508
143,exotic_pine,3,train,800009,308.54998779296875,36.347599029541016,0.7898989915847778,0.4900209903717041
144,exotic_pine,3,train,100008,116.47000122070312,36.33050155639648,0.7054060101509094,2.138000011444092
145,exotic_pine,3,train,200008,155.5800018310547,33.39189910888672,0.8210970163345337,0.3759920001029968
146,exotic_pine,3,train,500010,303.2699890136719,20.50860023498535,-0.8855699896812439,0.337006002664566
147,exotic_pine,3,train,700010,244.32000732421875,28.518400192260746,0.8971700072288513,0.3089900016784668
