OID,lon,lat,FuelClass,class_id,split,source,role
153,172.623719,-43.619322,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
155,172.610512,-43.628113,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
159,172.624851,-43.629495,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
164,172.593292,-43.608411,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
166,172.62099,-43.623805,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
167,172.61849,-43.628965,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
169,172.616772,-43.611071,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
170,172.612652,-43.629428,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
171,172.612481,-43.625217,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
174,172.614742,-43.630136,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
175,172.643656,-43.602239,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
177,172.61717,-43.629852,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
180,172.608459,-43.62244,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
181,172.629512,-43.622038,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
182,172.620419,-43.63317,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
189,172.630822,-43.629933,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
190,172.644539,-43.605392,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
193,172.60994,-43.626745,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
194,172.607351,-43.629102,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
198,172.601766,-43.621948,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
199,172.624343,-43.627093,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
278,172.610706,-43.630762,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
279,172.617652,-43.631851,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
280,172.622651,-43.633022,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
281,172.606627,-43.62768,broadleaf_scrub,4,train,main,4-class · CORE model (main 176)
151,172.620525,-43.616247,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
152,172.611696,-43.629949,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
154,172.605467,-43.620305,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
157,172.610013,-43.628987,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
158,172.612503,-43.627175,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
162,172.606608,-43.628329,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
165,172.616915,-43.632225,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
168,172.610989,-43.604861,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
172,172.611953,-43.630589,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
173,172.614727,-43.628579,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
179,172.606956,-43.626625,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
184,172.613188,-43.627137,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
185,172.622398,-43.61685,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
186,172.619069,-43.632568,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
188,172.600214,-43.620318,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
191,172.621767,-43.616219,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
197,172.621347,-43.615378,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
200,172.614246,-43.603346,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
282,172.608579,-43.628089,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
283,172.621032,-43.636669,broadleaf_scrub,4,valid,main,4-class · CORE model (main 176)
101,172.631694,-43.603446,exotic_pine,3,train,main,4-class · CORE model (main 176)
103,172.640648,-43.603752,exotic_pine,3,train,main,4-class · CORE model (main 176)
105,172.633298,-43.605085,exotic_pine,3,train,main,4-class · CORE model (main 176)
110,172.61971,-43.593458,exotic_pine,3,train,main,4-class · CORE model (main 176)
111,172.589689,-43.631797,exotic_pine,3,train,main,4-class · CORE model (main 176)
112,172.628325,-43.592985,exotic_pine,3,train,main,4-class · CORE model (main 176)
113,172.616853,-43.589675,exotic_pine,3,train,main,4-class · CORE model (main 176)
118,172.619237,-43.605757,exotic_pine,3,train,main,4-class · CORE model (main 176)
119,172.632119,-43.606415,exotic_pine,3,train,main,4-class · CORE model (main 176)
120,172.589253,-43.629178,exotic_pine,3,train,main,4-class · CORE model (main 176)
121,172.635092,-43.600563,exotic_pine,3,train,main,4-class · CORE model (main 176)
122,172.616951,-43.592677,exotic_pine,3,train,main,4-class · CORE model (main 176)
123,172.624174,-43.596896,exotic_pine,3,train,main,4-class · CORE model (main 176)
124,172.617898,-43.593905,exotic_pine,3,train,main,4-class · CORE model (main 176)
126,172.636587,-43.604872,exotic_pine,3,train,main,4-class · CORE model (main 176)
128,172.606782,-43.595264,exotic_pine,3,train,main,4-class · CORE model (main 176)
131,172.606639,-43.604208,exotic_pine,3,train,main,4-class · CORE model (main 176)
136,172.593581,-43.633338,exotic_pine,3,train,main,4-class · CORE model (main 176)
139,172.623072,-43.610477,exotic_pine,3,train,main,4-class · CORE model (main 176)
141,172.64007,-43.605057,exotic_pine,3,train,main,4-class · CORE model (main 176)
143,172.622657,-43.605056,exotic_pine,3,train,main,4-class · CORE model (main 176)
144,172.620029,-43.593263,exotic_pine,3,train,main,4-class · CORE model (main 176)
148,172.636053,-43.609591,exotic_pine,3,train,main,4-class · CORE model (main 176)
216,172.637796,-43.602203,exotic_pine,3,train,main,4-class · CORE model (main 176)
217,172.639882,-43.600266,exotic_pine,3,train,main,4-class · CORE model (main 176)
218,172.625942,-43.596796,exotic_pine,3,train,main,4-class · CORE model (main 176)
219,172.639049,-43.598311,exotic_pine,3,train,main,4-class · CORE model (main 176)
220,172.598862,-43.606316,exotic_pine,3,train,main,4-class · CORE model (main 176)
222,172.598427,-43.605858,exotic_pine,3,train,main,4-class · CORE model (main 176)
274,172.641668,-43.604595,exotic_pine,3,train,main,4-class · CORE model (main 176)
275,172.577283,-43.632703,exotic_pine,3,train,main,4-class · CORE model (main 176)
276,172.638579,-43.602612,exotic_pine,3,train,main,4-class · CORE model (main 176)
102,172.578485,-43.632788,exotic_pine,3,valid,main,4-class · CORE model (main 176)
107,172.629483,-43.596917,exotic_pine,3,valid,main,4-class · CORE model (main 176)
108,172.634365,-43.60117,exotic_pine,3,valid,main,4-class · CORE model (main 176)
109,172.62569,-43.605598,exotic_pine,3,valid,main,4-class · CORE model (main 176)
115,172.638648,-43.599936,exotic_pine,3,valid,main,4-class · CORE model (main 176)
132,172.576746,-43.632386,exotic_pine,3,valid,main,4-class · CORE model (main 176)
142,172.618185,-43.61564,exotic_pine,3,valid,main,4-class · CORE model (main 176)
145,172.632979,-43.599274,exotic_pine,3,valid,main,4-class · CORE model (main 176)
146,172.618448,-43.6151,exotic_pine,3,valid,main,4-class · CORE model (main 176)
225,172.622118,-43.609175,exotic_pine,3,valid,main,4-class · CORE model (main 176)
52,172.612668,-43.61665,gorse_broom,2,train,main,4-class · CORE model (main 176)
53,172.596842,-43.621044,gorse_broom,2,train,main,4-class · CORE model (main 176)
54,172.626681,-43.633092,gorse_broom,2,train,main,4-class · CORE model (main 176)
55,172.611905,-43.620839,gorse_broom,2,train,main,4-class · CORE model (main 176)
57,172.62821,-43.630351,gorse_broom,2,train,main,4-class · CORE model (main 176)
58,172.619414,-43.614013,gorse_broom,2,train,main,4-class · CORE model (main 176)
60,172.619204,-43.629912,gorse_broom,2,train,main,4-class · CORE model (main 176)
62,172.628039,-43.629586,gorse_broom,2,train,main,4-class · CORE model (main 176)
63,172.605217,-43.613828,gorse_broom,2,train,main,4-class · CORE model (main 176)
64,172.605109,-43.629133,gorse_broom,2,train,main,4-class · CORE model (main 176)
65,172.602649,-43.612563,gorse_broom,2,train,main,4-class · CORE model (main 176)
66,172.602066,-43.611893,gorse_broom,2,train,main,4-class · CORE model (main 176)
67,172.621788,-43.630349,gorse_broom,2,train,main,4-class · CORE model (main 176)
68,172.603357,-43.628854,gorse_broom,2,train,main,4-class · CORE model (main 176)
74,172.58154,-43.626275,gorse_broom,2,train,main,4-class · CORE model (main 176)
76,172.625619,-43.63019,gorse_broom,2,train,main,4-class · CORE model (main 176)
82,172.615915,-43.61262,gorse_broom,2,train,main,4-class · CORE model (main 176)
83,172.61673,-43.624787,gorse_broom,2,train,main,4-class · CORE model (main 176)
88,172.629464,-43.630857,gorse_broom,2,train,main,4-class · CORE model (main 176)
89,172.621939,-43.62905,gorse_broom,2,train,main,4-class · CORE model (main 176)
90,172.635129,-43.635653,gorse_broom,2,train,main,4-class · CORE model (main 176)
91,172.627379,-43.631355,gorse_broom,2,train,main,4-class · CORE model (main 176)
92,172.620146,-43.630927,gorse_broom,2,train,main,4-class · CORE model (main 176)
94,172.646243,-43.601409,gorse_broom,2,train,main,4-class · CORE model (main 176)
98,172.604616,-43.622831,gorse_broom,2,train,main,4-class · CORE model (main 176)
99,172.600212,-43.612338,gorse_broom,2,train,main,4-class · CORE model (main 176)
100,172.618916,-43.614173,gorse_broom,2,train,main,4-class · CORE model (main 176)
265,172.636062,-43.613583,gorse_broom,2,train,main,4-class · CORE model (main 176)
266,172.603084,-43.626646,gorse_broom,2,train,main,4-class · CORE model (main 176)
267,172.602165,-43.62766,gorse_broom,2,train,main,4-class · CORE model (main 176)
268,172.600819,-43.622608,gorse_broom,2,train,main,4-class · CORE model (main 176)
269,172.589761,-43.621745,gorse_broom,2,train,main,4-class · CORE model (main 176)
270,172.590903,-43.611319,gorse_broom,2,train,main,4-class · CORE model (main 176)
61,172.600936,-43.624802,gorse_broom,2,valid,main,4-class · CORE model (main 176)
70,172.621078,-43.619085,gorse_broom,2,valid,main,4-class · CORE model (main 176)
72,172.619648,-43.618602,gorse_broom,2,valid,main,4-class · CORE model (main 176)
73,172.616049,-43.60218,gorse_broom,2,valid,main,4-class · CORE model (main 176)
75,172.590599,-43.621841,gorse_broom,2,valid,main,4-class · CORE model (main 176)
85,172.61363,-43.621967,gorse_broom,2,valid,main,4-class · CORE model (main 176)
86,172.601218,-43.626538,gorse_broom,2,valid,main,4-class · CORE model (main 176)
87,172.591117,-43.616041,gorse_broom,2,valid,main,4-class · CORE model (main 176)
95,172.601002,-43.628171,gorse_broom,2,valid,main,4-class · CORE model (main 176)
271,172.614114,-43.620407,gorse_broom,2,valid,main,4-class · CORE model (main 176)
272,172.591074,-43.616434,gorse_broom,2,valid,main,4-class · CORE model (main 176)
273,172.619408,-43.614912,gorse_broom,2,valid,main,4-class · CORE model (main 176)
1,172.586937,-43.618966,pasture,1,train,main,4-class · CORE model (main 176)
3,172.583723,-43.61998,pasture,1,train,main,4-class · CORE model (main 176)
4,172.583703,-43.622719,pasture,1,train,main,4-class · CORE model (main 176)
