Band Value,dNBR Count
-352,1.129
-336,
-320,1
-304,2
-288,1.965
-272,2.682
-256,3.012
-240,4.478
-224,8.561
-208,11.824
-192,27.357
-176,24.925
-160,28.573
-144,35.286
-128,56.459
-112,61.282
-96,81.71
-80,164.871
-64,216.451
-48,290.878
-32,270.894
-16,261.773
0,261.024
16,268.435
32,261.467
48,277.275
64,309.988
80,306.314
96,341.804
112,356.039
128,384.976
144,385.902
160,356.824
176,423.012
192,420.596
208,388.635
224,395.302
240,391.576
256,365.239
272,386.682
288,375.361
304,354.855
320,387.357
336,370.584
352,344.498
368,337.271
384,366.89
400,308.89
416,323.976
432,327.757
448,280.816
464,273.427
480,274.871
496,237.655
512,266.773
528,228.808
544,228.475
560,266.286
576,239.98
592,201.937
608,221.89
624,217
640,209.996
656,219.682
672,199
688,211
704,201
720,147.878
736,173
752,197.855
768,162
784,162
800,166
816,163
832,147
848,124
864,137
880,105
896,97
912,68
928,62
944,69
960,46
976,39
992,30
"1,008",27
"1,024",22
"1,040",19
"1,056",13
"1,072",9
"1,088",9
"1,104",6
"1,120",8
"1,136",5
"1,152",3
"1,168",11
"1,184",2
"1,200",4
"1,216",7
"1,232",6
"1,248",9
"1,264",4
"1,280",2
"1,296",3
"1,312",5
"1,328",4
"1,344",2
"1,360",5
"1,376",
"1,392",4
"1,408",1
"1,424",4
"1,440",3
"1,456",3
"1,472",
"1,488",1
"1,504",3
"1,520",1
