OID,lon,lat,FuelClass,class_id,split
1,172.59163913091749,-43.62494090574152,pasture,1,train
2,172.6332318722188,-43.614030522440814,pasture,1,train
3,172.61941380798388,-43.58666601712085,pasture,1,train
4,172.59402584133414,-43.603673738112114,pasture,1,train
5,172.5990531032975,-43.596182156110736,pasture,1,valid
6,172.6206339087145,-43.62001562111715,pasture,1,train
7,172.59751452781202,-43.609942875880115,pasture,1,valid
8,172.5868334713352,-43.62304834227556,pasture,1,valid
9,172.601171173888,-43.60426120017376,pasture,1,valid
10,172.61666533290244,-43.59664444233606,pasture,1,train
11,172.63658238289713,-43.61253057476843,pasture,1,train
12,172.59271647394428,-43.61447563978901,pasture,1,train
13,172.59526779371654,-43.6145918893216,pasture,1,train
14,172.5829572186535,-43.61861303636396,pasture,1,train
15,172.5910428591543,-43.62662160177292,pasture,1,valid
16,172.61898546286392,-43.58557397479169,pasture,1,train
17,172.62242718791114,-43.58622206716691,pasture,1,train
18,172.6152024372818,-43.619488041017775,pasture,1,train
19,172.59245675222365,-43.626780435488136,pasture,1,train
20,172.6382313107569,-43.60998504499545,pasture,1,train
21,172.61878846511152,-43.58602948026703,pasture,1,train
22,172.59696931181387,-43.598121690593814,pasture,1,valid
23,172.62282661560073,-43.6300782497813,gorse_broom,2,train
24,172.59815148941232,-43.62222861158762,gorse_broom,2,valid
25,172.616138572323,-43.59841185344062,gorse_broom,2,valid
26,172.61158424421313,-43.6205406577864,gorse_broom,2,train
27,172.58380983550512,-43.60992730634012,gorse_broom,2,train
28,172.60292556661713,-43.62328287782724,gorse_broom,2,train
29,172.61117779746522,-43.616538084231486,gorse_broom,2,train
30,172.62591359093628,-43.628919232324826,gorse_broom,2,train
31,172.61031665641144,-43.61883140032218,gorse_broom,2,valid
32,172.5882630028122,-43.60769949402905,gorse_broom,2,train
33,172.58886965676888,-43.62147711042887,gorse_broom,2,valid
34,172.5918785739325,-43.62107684411237,gorse_broom,2,valid
35,172.59751734532043,-43.62255166087886,gorse_broom,2,train
36,172.60067156565822,-43.625325448538206,gorse_broom,2,train
37,172.6334007871921,-43.633901210987105,gorse_broom,2,valid
38,172.6196185789027,-43.595036184536866,gorse_broom,2,valid
39,172.61443721260684,-43.597988356086596,gorse_broom,2,train
40,172.59313193657744,-43.62429220637318,gorse_broom,2,train
41,172.63137115764818,-43.633931513597034,gorse_broom,2,train
42,172.6111227265439,-43.617102905431246,gorse_broom,2,train
43,172.61146856296006,-43.595749525956705,gorse_broom,2,train
44,172.61835609512548,-43.61380221988564,gorse_broom,2,valid
45,172.58124388415683,-43.62862161628811,exotic_pine,3,train
46,172.63949995489375,-43.60772452012616,exotic_pine,3,train
47,172.61999497835046,-43.59106317307849,exotic_pine,3,train
48,172.63212502400503,-43.604040914730724,exotic_pine,3,valid
49,172.63222458806018,-43.600663154059575,exotic_pine,3,valid
50,172.60881135790046,-43.606200843592184,exotic_pine,3,valid
51,172.63986013549297,-43.60476014723376,exotic_pine,3,train
52,172.6144242200899,-43.61319645575335,exotic_pine,3,valid
53,172.62892539126653,-43.603331407952496,exotic_pine,3,valid
54,172.62571758829574,-43.600086139696536,exotic_pine,3,valid
55,172.6263276181246,-43.60714909065634,exotic_pine,3,train
56,172.63192190260398,-43.60676020886433,exotic_pine,3,valid
57,172.6349890585699,-43.6077202974467,exotic_pine,3,train
58,172.61833171752326,-43.6081655147585,exotic_pine,3,train
59,172.58718356773784,-43.63215437615301,exotic_pine,3,train
60,172.6256126759882,-43.59062699659154,exotic_pine,3,train
61,172.61866718421385,-43.590287517880775,exotic_pine,3,train
62,172.60632891364463,-43.60490645234683,exotic_pine,3,train
63,172.5947646410008,-43.63185595693607,exotic_pine,3,valid
64,172.63002569791067,-43.604948062453836,exotic_pine,3,valid
65,172.6268220046035,-43.59072842757582,exotic_pine,3,train
66,172.6079102167031,-43.597771769428896,exotic_pine,3,train
67,172.62009332154267,-43.63348203886982,broadleaf_scrub,4,train
68,172.64373470778008,-43.60354572623273,broadleaf_scrub,4,train
69,172.62457222147617,-43.620700738988646,broadleaf_scrub,4,valid
70,172.62852402804904,-43.62486263559888,broadleaf_scrub,4,train
71,172.6018317416668,-43.622175260304765,broadleaf_scrub,4,valid
72,172.6185562186374,-43.62483159627777,broadleaf_scrub,4,train
73,172.61376030194523,-43.624862130827054,broadleaf_scrub,4,valid
74,172.6220955135558,-43.617728495621165,broadleaf_scrub,4,train
75,172.60872377775513,-43.621509202069255,broadleaf_scrub,4,train
76,172.61440640495573,-43.63098541804671,broadleaf_scrub,4,train
77,172.61969328459116,-43.62507927581921,broadleaf_scrub,4,train
78,172.62765204256905,-43.61349925224869,broadleaf_scrub,4,train
79,172.63957905957767,-43.59679437715957,broadleaf_scrub,4,train
80,172.6306821029095,-43.6304871243693,broadleaf_scrub,4,valid
81,172.61083535396506,-43.627616306629704,broadleaf_scrub,4,train
82,172.62056270387808,-43.626044623063414,broadleaf_scrub,4,train
83,172.62068438117845,-43.62517699006013,broadleaf_scrub,4,train
84,172.62234794435116,-43.62813471126792,broadleaf_scrub,4,train
85,172.6129969968007,-43.62861292046081,broadleaf_scrub,4,valid
86,172.60085647462665,-43.62041502205909,broadleaf_scrub,4,valid
87,172.62357544075704,-43.63233751765754,broadleaf_scrub,4,valid
88,172.61421906449777,-43.60657701492561,broadleaf_scrub,4,valid
