OID,lon,lat,FuelClass,class_id,split,source
1,172.586936938144,-43.61896599001961,pasture,1,train,main
2,172.62529159259248,-43.587933353676824,pasture,1,valid,main
3,172.5837233464377,-43.61998014342477,pasture,1,train,main
4,172.58370312597614,-43.62271922950298,pasture,1,train,main
6,172.58608080769199,-43.61326028382906,pasture,1,train,main
9,172.60246203172753,-43.608052719110184,pasture,1,valid,main
10,172.5780010389654,-43.63441214870815,pasture,1,valid,main
11,172.60339648172865,-43.604239189504604,pasture,1,train,main
13,172.5914678218473,-43.62543763285056,pasture,1,valid,main
16,172.598928925734,-43.60043069121051,pasture,1,train,main
17,172.6172221381409,-43.5974281146898,pasture,1,train,main
18,172.5764794148712,-43.627532717596345,pasture,1,train,main
19,172.60894439450107,-43.604238706834316,pasture,1,train,main
20,172.6250968025287,-43.58916201395407,pasture,1,train,main
23,172.59294323161038,-43.6030926105712,pasture,1,train,main
25,172.62486453628838,-43.62476793613604,pasture,1,train,main
26,172.62592477721944,-43.587990777552214,pasture,1,valid,main
27,172.60563695148943,-43.61533048051483,pasture,1,train,main
29,172.5897065966912,-43.62580636545944,pasture,1,train,main
30,172.61515075295864,-43.59690135168848,pasture,1,train,main
31,172.59667108763242,-43.60239316012514,pasture,1,valid,main
32,172.5962060407722,-43.60252478948022,pasture,1,valid,main
33,172.62245714966562,-43.621937739253504,pasture,1,train,main
34,172.61042261794182,-43.61580400611825,pasture,1,valid,main
38,172.6469973963926,-43.60306697080386,pasture,1,train,main
39,172.5833830232252,-43.62252386486583,pasture,1,train,main
40,172.62239584637751,-43.622206752101434,pasture,1,train,main
41,172.61679841361632,-43.619125350252546,pasture,1,train,main
44,172.60057751101795,-43.60673799225025,pasture,1,valid,main
45,172.6081783853619,-43.603980647785725,pasture,1,valid,main
46,172.58028446060337,-43.620809259049345,pasture,1,train,main
47,172.61122089806943,-43.59448514298067,pasture,1,valid,main
48,172.58955245717806,-43.62671597611479,pasture,1,valid,main
49,172.62236438036726,-43.58590504764406,pasture,1,train,main
50,172.59207275527964,-43.60306696239289,pasture,1,train,main
52,172.61266831502837,-43.616650040782005,gorse_broom,2,train,main
53,172.59684154161152,-43.62104395754741,gorse_broom,2,train,main
54,172.62668142407392,-43.63309172812766,gorse_broom,2,train,main
55,172.61190484872782,-43.62083899897271,gorse_broom,2,train,main
57,172.62820956225067,-43.63035057013497,gorse_broom,2,train,main
58,172.61941355346127,-43.61401333495463,gorse_broom,2,train,main
60,172.61920357530732,-43.629911571007874,gorse_broom,2,train,main
61,172.6009357040189,-43.62480156830489,gorse_broom,2,valid,main
62,172.62803901127148,-43.62958633290504,gorse_broom,2,train,main
63,172.60521654545562,-43.61382845155716,gorse_broom,2,train,main
64,172.60510925589043,-43.6291327953753,gorse_broom,2,train,main
65,172.60264924646822,-43.612563014476116,gorse_broom,2,train,main
66,172.6020662407879,-43.61189336769375,gorse_broom,2,train,main
67,172.62178772294706,-43.63034916105139,gorse_broom,2,train,main
68,172.6033571289432,-43.628853522135216,gorse_broom,2,train,main
70,172.62107752509624,-43.619085124643,gorse_broom,2,valid,main
72,172.61964771325077,-43.61860238195254,gorse_broom,2,valid,main
73,172.61604946398657,-43.60218038572287,gorse_broom,2,valid,main
74,172.58153997061834,-43.62627472721158,gorse_broom,2,train,main
75,172.59059910160903,-43.621840667133576,gorse_broom,2,valid,main
76,172.62561911841533,-43.630190470075036,gorse_broom,2,train,main
82,172.6159146292385,-43.61261983422352,gorse_broom,2,train,main
83,172.6167297937083,-43.62478731373484,gorse_broom,2,train,main
85,172.61363039355012,-43.62196667082932,gorse_broom,2,valid,main
86,172.60121754277168,-43.62653819839913,gorse_broom,2,valid,main
87,172.59111726497468,-43.6160407885383,gorse_broom,2,valid,main
88,172.62946445960978,-43.630856988695356,gorse_broom,2,train,main
89,172.62193898379445,-43.62905013410422,gorse_broom,2,train,main
90,172.6351291511336,-43.635653284165365,gorse_broom,2,train,main
