OID,FuelClass,class_id,split,dem_lidar,dsm_lidar,chm
1,pasture,1,train,,,
2,pasture,1,valid,79.889999,79.75,-0.1399990000000031
3,pasture,1,train,,,
4,pasture,1,train,,,
6,pasture,1,train,32.330002,32.360001,0.029998999999996556
9,pasture,1,valid,206.14,206.14,0.0
10,pasture,1,valid,,,
11,pasture,1,train,160.47,160.37,-0.09999999999999432
13,pasture,1,valid,,,
16,pasture,1,train,170.92999,170.94,0.01000999999999408
17,pasture,1,train,190.84,196.62,5.780000000000001
18,pasture,1,train,,,
19,pasture,1,train,38.02,38.380001,0.3600009999999969
20,pasture,1,train,108.1,107.93,-0.1699999999999875
23,pasture,1,train,168.8,168.81,0.009999999999990905
25,pasture,1,train,,,
26,pasture,1,valid,59.490002,61.009998,1.5199960000000061
27,pasture,1,train,273.14001,273.14999,0.009979999999984557
29,pasture,1,train,,,
30,pasture,1,train,188.17,187.99001,-0.17998999999997523
31,pasture,1,valid,197.97,198.07001,0.10000999999999749
32,pasture,1,valid,198.48,198.24001,-0.2399899999999775
33,pasture,1,train,425.97,426.01001,0.040009999999995216
34,pasture,1,valid,307.14001,307.13,-0.010010000000022501
38,pasture,1,train,401.22,401.23001,0.010009999999965657
39,pasture,1,train,,,
40,pasture,1,train,426.95999,426.95999,0.0
41,pasture,1,train,354.51001,354.95001,0.4399999999999977
44,pasture,1,valid,191.71001,191.59,-0.12001000000000772
45,pasture,1,valid,57.599998,67.410004,9.810006000000001
46,pasture,1,train,,,
47,pasture,1,valid,161.78,161.78,0.0
48,pasture,1,valid,,,
49,pasture,1,train,96.059998,96.220001,0.16000300000000323
50,pasture,1,train,164.5,164.52,0.020000000000010232
52,gorse_broom,2,train,307.35999,307.59,0.23000999999999294
53,gorse_broom,2,train,,,
54,gorse_broom,2,train,,,
55,gorse_broom,2,train,264.89999,265.67999,0.7799999999999727
57,gorse_broom,2,train,,,
58,gorse_broom,2,train,253.21001,254.19,0.9799899999999866
60,gorse_broom,2,train,,,
61,gorse_broom,2,valid,,,
62,gorse_broom,2,train,,,
63,gorse_broom,2,train,225.92,225.66,-0.2599999999999909
64,gorse_broom,2,train,,,
65,gorse_broom,2,train,185.53999,185.74001,0.2000200000000234
66,gorse_broom,2,train,160.17,160.8,0.6300000000000239
67,gorse_broom,2,train,,,
68,gorse_broom,2,train,,,
70,gorse_broom,2,valid,372.53,374.10001,1.5700100000000248
72,gorse_broom,2,valid,355.17001,355.67001,0.5
73,gorse_broom,2,valid,143.55,144.49001,0.9400100000000009
74,gorse_broom,2,train,,,
75,gorse_broom,2,valid,,,
76,gorse_broom,2,train,,,
82,gorse_broom,2,train,253.25,254.16,0.9099999999999966
83,gorse_broom,2,train,386.38,387.69,1.3100000000000023
85,gorse_broom,2,valid,305.0,305.98999,0.9899899999999775
86,gorse_broom,2,valid,,,
87,gorse_broom,2,valid,57.52,58.720001,1.2000010000000003
88,gorse_broom,2,train,,,
89,gorse_broom,2,train,,,
90,gorse_broom,2,train,,,
91,gorse_broom,2,train,,,
92,gorse_broom,2,train,,,
94,gorse_broom,2,train,414.92999,415.06,0.13001000000002705
95,gorse_broom,2,valid,,,
98,gorse_broom,2,train,148.02,148.92,0.8999999999999773
99,gorse_broom,2,train,162.05,162.07001,0.020009999999984984
100,gorse_broom,2,train,272.76999,275.32999,2.5600000000000023
101,exotic_pine,3,train,291.60999,293.39999,1.7900000000000205
102,exotic_pine,3,valid,,,
103,exotic_pine,3,train,206.27,215.67999,9.409989999999993
105,exotic_pine,3,train,354.5,354.59,0.08999999999997499
107,exotic_pine,3,valid,171.78,171.78999,0.009989999999987731
108,exotic_pine,3,valid,139.78999,141.08,1.2900100000000236
109,exotic_pine,3,valid,364.29999,380.13,15.830010000000016
110,exotic_pine,3,train,32.32,52.830002,20.510002
111,exotic_pine,3,train,,,
112,exotic_pine,3,train,88.889999,89.470001,0.5800019999999932
113,exotic_pine,3,train,45.439999,47.68,2.2400009999999995
115,exotic_pine,3,valid,155.66,165.64,9.97999999999999
118,exotic_pine,3,train,259.60999,266.62,7.0100100000000225
119,exotic_pine,3,train,392.54001,412.32001,19.78000000000003
120,exotic_pine,3,train,,,
121,exotic_pine,3,train,93.910004,95.550003,1.639999000000003
122,exotic_pine,3,train,44.650002,57.779999,13.129996999999996
123,exotic_pine,3,train,112.25,112.69,0.4399999999999977
124,exotic_pine,3,train,85.199997,94.089996,8.889999000000003
126,exotic_pine,3,train,236.13,254.74001,18.610010000000017
128,exotic_pine,3,train,62.540001,76.739998,14.199997000000003
131,exotic_pine,3,train,123.76,123.88,0.11999999999999034
132,exotic_pine,3,valid,,,
136,exotic_pine,3,train,,,
139,exotic_pine,3,train,328.72,342.45999,13.739989999999977
141,exotic_pine,3,train,188.44,189.75999,1.31998999999999
142,exotic_pine,3,valid,330.82999,348.35999,17.529999999999973
143,exotic_pine,3,train,287.82001,296.35001,8.529999999999973
144,exotic_pine,3,train,45.830002,65.339996,19.509994
145,exotic_pine,3,valid,100.18,115.77,15.58999999999999
146,exotic_pine,3,valid,317.13,324.70999,7.579990000000009
148,exotic_pine,3,train,402.57001,414.84,12.26998999999995
151,native_scrub,4,valid,280.5,284.89001,4.390010000000018
152,native_scrub,4,valid,,,
153,native_scrub,4,train,329.54001,329.32001,-0.21999999999997044
154,native_scrub,4,valid,175.11,175.24001,0.13000999999999863
155,native_scrub,4,train,,,
157,native_scrub,4,valid,,,
158,native_scrub,4,valid,212.31,213.08,0.7700000000000102
159,native_scrub,4,train,,,
162,native_scrub,4,valid,,,
164,native_scrub,4,train,74.279999,74.32,0.04000099999998952
165,native_scrub,4,valid,,,
166,native_scrub,4,train,,,
167,native_scrub,4,train,,,
168,native_scrub,4,valid,46.509998,47.119999,0.6100009999999969
169,native_scrub,4,train,144.89999,147.66,2.760009999999994
170,native_scrub,4,train,,,
171,native_scrub,4,train,292.12,292.53,0.40999999999996817
172,native_scrub,4,valid,,,
173,native_scrub,4,valid,,,
174,native_scrub,4,train,,,
175,native_scrub,4,train,288.76999,290.32999,1.5600000000000023
177,native_scrub,4,train,,,
179,native_scrub,4,valid,,,
180,native_scrub,4,train,212.78,213.63,0.8499999999999943
181,native_scrub,4,train,373.17999,373.34,0.16000999999999976
182,native_scrub,4,train,,,
184,native_scrub,4,valid,236.42999,237.48,1.0500099999999861
185,native_scrub,4,valid,270.85999,275.20001,4.340020000000038
186,native_scrub,4,valid,,,
188,native_scrub,4,valid,72.120003,72.470001,0.34999799999999937
189,native_scrub,4,train,,,
190,native_scrub,4,train,305.04001,306.32999,1.2899800000000141
191,native_scrub,4,valid,256.12,258.94,2.819999999999993
193,native_scrub,4,train,179.31,185.99001,6.68001000000001
194,native_scrub,4,train,,,
197,native_scrub,4,valid,237.95,238.99001,1.0400100000000236
198,native_scrub,4,train,82.120003,83.379997,1.259994000000006
199,native_scrub,4,train,,,
