B4,B5,B6,B7,B8,OID,lon,lat,FuelClass,class_id,split,source
715,1365,3275,3931,4038,1,172.586936938144,-43.61896599001961,pasture,1,train,main
583,1143,2809,3449,3325,2,172.62529159259248,-43.58793335367682,pasture,1,valid,main
381,910,3222,4046,3288,3,172.5837233464377,-43.61998014342477,pasture,1,train,main
594,1185,2995,3650,3687,4,172.58370312597614,-43.62271922950298,pasture,1,train,main
507,1093,2785,3294,3293,6,172.586080807692,-43.61326028382906,pasture,1,train,main
987,1351,2994,3521,3195,9,172.60246203172753,-43.60805271911018,pasture,1,valid,main
753,1372,2865,3292,3363,10,172.5780010389654,-43.63441214870815,pasture,1,valid,main
509,1211,3639,4533,4558,11,172.60339648172865,-43.60423918950461,pasture,1,train,main
688,1389,3069,3599,3928,13,172.5914678218473,-43.62543763285056,pasture,1,valid,main
602,1318,3286,4055,4093,16,172.598928925734,-43.60043069121051,pasture,1,train,main
445,958,2131,2614,2378,17,172.6172221381409,-43.5974281146898,pasture,1,train,main
465,1121,3001,3543,3532,18,172.5764794148712,-43.627532717596345,pasture,1,train,main
496,929,2569,3200,3025,19,172.6089443945011,-43.60423870683432,pasture,1,train,main
448,1117,3836,5014,5049,20,172.6250968025287,-43.58916201395407,pasture,1,train,main
663,1271,3126,3651,4083,23,172.59294323161038,-43.6030926105712,pasture,1,train,main
627,1202,2610,3017,3209,25,172.62486453628838,-43.62476793613604,pasture,1,train,main
617,939,2310,2804,2929,26,172.62592477721944,-43.58799077755221,pasture,1,valid,main
763,1275,2652,3254,3079,27,172.60563695148943,-43.61533048051483,pasture,1,train,main
458,1103,3642,4618,4502,29,172.5897065966912,-43.62580636545944,pasture,1,train,main
904,1132,2328,2601,2130,30,172.61515075295864,-43.59690135168848,pasture,1,train,main
519,1236,3826,4794,4721,31,172.59667108763242,-43.60239316012514,pasture,1,valid,main
541,1236,3633,4501,4554,32,172.5962060407722,-43.60252478948022,pasture,1,valid,main
479,1166,3590,4633,4550,33,172.62245714966562,-43.621937739253504,pasture,1,train,main
628,1394,3526,4268,4312,34,172.61042261794182,-43.61580400611825,pasture,1,valid,main
527,1042,2190,2544,2608,38,172.6469973963926,-43.60306697080386,pasture,1,train,main
511,1141,2883,3576,3572,39,172.5833830232252,-43.62252386486583,pasture,1,train,main
524,1163,3375,4190,4213,40,172.62239584637751,-43.62220675210144,pasture,1,train,main
626,1201,3196,3844,3740,41,172.61679841361632,-43.61912535025255,pasture,1,train,main
651,1455,3001,3546,3544,44,172.60057751101797,-43.60673799225025,pasture,1,valid,main
490,809,2288,2910,2791,45,172.6081783853619,-43.603980647785725,pasture,1,valid,main
478,1051,2968,3645,3735,46,172.58028446060337,-43.62080925904935,pasture,1,train,main
879,1171,2720,3294,2924,47,172.61122089806943,-43.59448514298067,pasture,1,valid,main
418,937,2850,3571,3784,48,172.58955245717806,-43.62671597611479,pasture,1,valid,main
491,1239,3065,3955,2951,49,172.62236438036726,-43.58590504764406,pasture,1,train,main
488,1168,3466,4272,4307,50,172.59207275527964,-43.60306696239289,pasture,1,train,main
450,1096,3195,3982,4039,52,172.61266831502837,-43.616650040782005,gorse_broom,2,train,main
590,1014,2386,2891,2692,53,172.59684154161152,-43.62104395754741,gorse_broom,2,train,main
528,1208,3293,3871,3761,54,172.62668142407392,-43.63309172812766,gorse_broom,2,train,main
