"variable","group","skew_raw","kurt_raw","skew_log","kurt_log","skew_sqrt","kurt_sqrt","skew_yj","kurt_yj","yj_lambda","skew_z","kurt_z","bimodality_coef"
"pre_B2","Pre-fire spectral",0.62,2.75,-0.91,5.17,0.05,2.62,0.5,2.58,-3,0.62,2.75,0.5
"pre_B3","Pre-fire spectral",0.23,2.61,-1.62,9.02,-0.38,3.36,0.06,2.58,-3,0.23,2.61,0.4
"pre_B4","Pre-fire spectral",0.47,2.41,-1.01,5.28,-0.05,2.47,0.28,2.23,-3,0.47,2.41,0.51
"pre_B5","Pre-fire spectral",1.23,5.31,-0.1,4.37,0.61,3.85,0.43,3.33,-3,1.23,5.31,0.47
"pre_B6","Pre-fire spectral",0.32,2.34,-0.77,3.91,-0.13,2.35,0.03,2.16,-2.44,0.32,2.34,0.47
"pre_B7","Pre-fire spectral",0.49,2.52,-0.93,5.32,-0.02,2.52,0.26,2.28,-3,0.49,2.52,0.49
"NDVI","Pre-fire spectral",0.04,1.98,-0.95,3.99,-0.36,2.29,-0.02,1.98,0.59,0.04,1.98,0.51
"NDMI","Pre-fire spectral",-0.14,1.83,-0.73,3.4,-0.2,1.99,-0.07,1.81,1.47,-0.14,1.83,0.56
"BSI","Pre-fire spectral",-0.08,1.85,-0.82,3.27,-0.29,2.04,0.02,1.83,1.61,-0.08,1.85,0.54
"NBR_pre","Pre-fire spectral",-0.14,2.07,-1.01,4.06,-0.32,2.35,-0.05,2.04,1.6,-0.14,2.07,0.49
"elev","Terrain",0.4,2.35,-1.06,4.67,-0.17,2.45,-0.07,2.35,0.55,0.4,2.35,0.49
"slope","Terrain",0.32,2.95,-1.17,5.4,-0.31,2.99,-0.03,2.78,0.68,0.32,2.95,0.37
"northness","Terrain",-0.58,1.96,-0.6,2.21,0.1,1.68,-0.25,1.6,1.8,-0.58,1.96,0.68
