"variable","Q1","Q3","IQR","lower_fence","upper_fence","n_low","n_high","n_extreme_3IQR","pct_outlier"
"pre_B2",0.0246750004589558,0.0464274995028973,0.0217524990439415,-0.00795374810695648,0.0790562480688095,0,65,0,0.35
"pre_B3",0.0485999993979931,0.0780799984931946,0.0294799990952015,0.00438000075519085,0.122299997135997,0,11,0,0.06
"pre_B4",0.0399925000965595,0.0860550031065941,0.0460625030100346,-0.0291012544184923,0.155148757621646,0,1,0,0.01
"pre_B5",0.226112499833107,0.308694988489151,0.082582488656044,0.102238766849041,0.432568721473217,5,724,97,3.92
"pre_B6",0.102279998362064,0.186320006847382,0.0840400084853172,-0.0237800143659115,0.312380019575357,0,2,0,0.01
"pre_B7",0.055612500756979,0.108659997582436,0.0530474968254566,-0.0239587444812059,0.188231242820621,0,18,0,0.1
"NDVI",0.502423524856567,0.732432782649994,0.230009257793427,0.157409638166428,1.07744666934013,0,0,0,0
"NDMI",0.182307600975037,0.453874796628952,0.271567195653915,-0.225043192505836,0.861225590109825,0,0,0,0
"BSI",-0.34838655591011,-0.0711679235100746,0.277218632400036,-0.764214504510164,0.344660025089979,0,0,0,0
"NBR_pre",0.418512880802155,0.653860747814178,0.235347867012024,0.0654910802841187,1.00688254833221,0,0,0,0
"elev",138,299,161,-103.5,540.5,0,0,0,0
"slope",12.3051919937134,22.0580158233643,9.75282382965088,-2.32404375076294,36.6872515678406,0,85,2,0.46
"northness",-0.253755450248718,0.859465956687927,1.11322140693665,-1.92358756065369,2.5292980670929,0,0,0,0
